Time    	Lin Cylinder_BoomLift_L x
17.0136	677.6229392
17.0304	677.6237975
17.046	677.6246688
17.0628	677.6254882
17.0784	677.6264203
17.0916	677.6275496
17.106	677.6286144
17.1204	677.6297494
17.1348	677.6306358
17.148	677.6314467
17.1612	677.6322068
17.1756	677.6327181
17.19	677.6326121
17.2044	677.6322563
17.2176	677.6321229
17.232	677.6328259
17.2464	677.6336769
17.262	677.6346768
17.2776	677.6358545
17.292	677.6370086
17.3052	677.6381592
17.3184	677.6394593
17.3316	677.6406009
17.346	677.6415176
17.3604	677.6423426
17.3736	677.6432216
17.388	677.6440416
17.4012	677.6449593
17.4156	677.6457007
17.4288	677.6461844
17.4432	677.6466707
17.4576	677.6471947
17.472	677.6477452
17.4876	677.6482466
17.5008	677.6488788
17.5152	677.6498445
17.5272	677.6507122
17.5416	677.6514565
17.556	677.6522043
17.5704	677.6529847
17.586	677.6539123
17.6004	677.655172
17.6136	677.6567693
17.628	677.658006
17.6412	677.6586985
17.6556	677.6590233
17.67	677.6588382
17.6856	677.6584388
17.6988	677.6581115
17.7132	677.6580933
17.7276	677.6587079
17.7408	677.659576
17.7552	677.6603764
17.7696	677.6609411
17.784	677.6613971
17.7996	677.6619794
17.8128	677.6625674
17.8272	677.6633065
17.8428	677.6641919
17.8572	677.6651503
17.8704	677.6659517
17.8836	677.6669173
17.8992	677.6678658
17.9136	677.6686367
17.928	677.6693364
17.9424	677.6699887
17.9568	677.6706464
17.9712	677.6712584
17.9844	677.671742
18	677.6723778
18.0144	677.6728909
18.0288	677.6733629
18.0432	677.6736035
18.0576	677.6739774
18.072	677.6748045
18.0876	677.67562
18.1008	677.676457
18.1152	677.6772971
18.1296	677.6779684
18.144	677.6788147
18.1596	677.6796321
18.1728	677.6805784
18.1872	677.6814568
18.2004	677.6824511
18.216	677.6833242
18.2304	677.684095
18.2448	677.6848559
18.2592	677.685324
18.2736	677.6856008
18.288	677.6858171
18.3012	677.6862474
18.3144	677.6868935
18.3312	677.687652
18.3444	677.6883467
18.3588	677.6889683
18.3732	677.6896103
18.3864	677.6903391
18.402	677.6909697
18.4164	677.6917296
18.4308	677.6925865
18.4452	677.6936464
18.4572	677.6945004
18.4728	677.6953249
18.4872	677.6961846
18.5028	677.6970192
18.5148	677.6978609
18.528	677.6987328
18.5424	677.6997323
18.5568	677.7006653
18.5724	677.7012649
18.5856	677.7018105
18.5988	677.7022509
18.612	677.7028202
18.6264	677.7034068
18.6408	677.7040509
18.6552	677.7048773
18.6708	677.7057194
18.6852	677.7065792
18.6984	677.7074549
18.7128	677.7081442
18.7272	677.7086738
18.738	677.70906
18.7536	677.7094812
18.768	677.7100318
18.786	677.7107764
18.8028	677.7114681
18.8184	677.7121244
18.8364	677.7128728
18.8532	677.7135127
18.87	677.7140808
18.8844	677.7146212
18.9012	677.7155705
18.918	677.7165098
18.9336	677.7173409
18.9492	677.7181052
18.9636	677.7187402
18.9792	677.7193881
18.996	677.7202548
19.0092	677.7210787
19.0236	677.721851
19.0368	677.7225171
19.0512	677.723323
19.0656	677.7240708
19.08	677.7248562
19.0956	677.7255065
19.1088	677.7260886
19.1244	677.7267596
19.1388	677.7272387
19.152	677.7276649
19.1676	677.7280931
19.182	677.728597
19.1964	677.7291104
19.2096	677.7295637
19.224	677.7302926
19.2396	677.7311124
19.2528	677.7319868
19.2672	677.7329324
19.2804	677.7338619
19.296	677.7346523
19.3104	677.7354932
19.3248	677.7362253
19.3392	677.7370907
19.3524	677.7377558
19.3656	677.7385383
19.38	677.7390877
19.3932	677.7396503
19.4088	677.7402884
19.4232	677.7411835
19.4376	677.7424518
19.452	677.7437145
19.4652	677.7446989
19.4808	677.7455337
19.4952	677.7463687
19.5096	677.7470205
19.524	677.7475692
19.5384	677.7482809
19.5528	677.7488253
19.5672	677.749531
19.5816	677.7501853
19.596	677.7507005
19.6092	677.7511897
19.6248	677.7517909
19.638	677.7524138
19.6536	677.7533287
19.668	677.7540915
19.6824	677.7546504
19.698	677.7553293
19.7124	677.7558433
19.7268	677.7563814
19.7412	677.757027
19.752	677.7576557
19.7676	677.7584394
19.782	677.7596794
19.7976	677.7608082
19.8108	677.7615741
19.824	677.7623601
19.8396	677.762921
19.8528	677.7633148
19.8672	677.7638756
19.8816	677.7646674
19.896	677.7653428
19.9116	677.7660176
19.926	677.7667783
19.9416	677.7676281
19.9548	677.768247
19.968	677.7687525
19.9836	677.7694391
19.9968	677.7702349
20.0124	677.7710182
20.0268	677.771828
20.04	677.7725223
20.0532	677.7730288
20.0664	677.7736652
20.0796	677.7744321
20.094	677.7750889
20.1072	677.7756464
20.1204	677.7763609
20.1348	677.777067
20.1492	677.7775845
20.1624	677.7781369
20.1792	677.7786889
20.1936	677.7793663
20.2068	677.7799884
20.22	677.7809933
20.2332	677.7818705
20.2476	677.7827277
20.262	677.7836055
20.2764	677.7843806
20.2908	677.785254
20.3052	677.7859523
20.3208	677.786738
20.334	677.7873504
20.3496	677.7879074
20.364	677.7883256
20.3784	677.7886745
20.394	677.7892339
20.4072	677.789719
20.4216	677.790113
20.4372	677.7908566
20.4504	677.7918195
20.4648	677.7926584
20.4792	677.7934438
20.4936	677.794381
20.508	677.7951909
20.5212	677.7959043
20.538	677.7966639
20.5512	677.7974558
20.5656	677.7982624
20.58	677.7990113
20.5944	677.7995628
20.61	677.8000883
20.6232	677.8006898
20.6388	677.801381
20.6532	677.8019775
20.6676	677.8025563
20.6832	677.8032584
20.6976	677.8039508
20.712	677.8046523
20.7276	677.805583
20.7408	677.8064214
20.7552	677.8073118
20.7684	677.8165592
20.7816	677.8784691
20.796	678.0297205
20.8092	678.2800469
20.8236	678.785714
20.8368	679.3603051
20.8512	680.1060273
20.8656	680.8628302
20.8788	681.8449053
20.8932	682.9139695
20.9076	684.0040116
20.922	685.3057698
20.9364	686.6105176
20.9508	688.0062005
20.9652	689.6071112
20.9796	691.1639123
20.994	692.67846
21.0084	694.4340213
21.024	696.1314435
21.0396	698.0614909
21.054	699.887457
21.0696	701.9349976
21.0828	703.8486042
21.0972	705.9526687
21.1128	708.0631745
21.1272	709.9970315
21.1428	712.0952435
21.1572	714.1714343
21.1716	716.2217932
21.186	718.0786026
21.2004	719.9164485
21.216	722.0663287
21.2316	724.0330921
21.2436	725.9889424
21.2592	727.7741769
21.2724	729.7060094
21.288	731.6187138
21.3036	733.5049307
21.3168	735.505539
21.3312	737.4554963
21.3444	739.0662786
21.36	740.7870674
21.3756	742.3377806
21.39	744.0097518
21.4044	745.6677476
21.4176	747.1792386
21.432	748.6829206
21.4476	750.1766727
21.462	751.7948078
21.4764	753.4049566
21.4896	755.1521969
21.504	756.9092474
21.5184	758.5383377
21.5316	760.168883
21.546	761.6619726
