y x1  x2  x3  x4  x5  x6  x7  x8  x9  x10
0	0	0	0	0	0	0	0	0	0	0
58	10	31	51	72	92	113	134	154	175	195
75	20	46	72	98	124	150	177	203	229	255
85	30	59	88	117	146	174	203	232	261	290
92	40	71	101	132	162	193	224	254	285	315
98	50	82	113	145	177	208	240	272	303	335
106	70	103	136	169	201	234	267	300	333	366
113	90	123	156	190	223	256	289	322	356	389
115	100	133	166	200	233	266	299	332	365	399
133	200	230	259	289	319	348	378	408	438	467
150	400	416	432	449	465	481	497	513	530	546
160	600	600	600	600	600	600	600	600	600	600
