x   y
5.41538 0.0912402
5.40701 0.275318
4.84065 2.42039
2.94107 4.54063
0.23455 5.40278
-2.53178    4.77637
-3.84282    3.90085
-4.31191    4.39265
-4.50756    4.60281
-4.5765 4.68387
-4.5283 4.66522
-4.34094    4.48085
-4.19481    4.32938
-4.0974 4.22136
-4.06776    4.19038
-4.09838    4.22816
-4.23853    4.37322
-4.29266    4.44668
-4.07444    4.64234
-4.07297    4.6414
-3.8592 4.81868
-3.31913    5.20352
-2.12031    5.79394
-0.438304   6.15119
0.924247    6.09454
0.967785    6.45591
1.01216 6.74206
1.03659 6.89768
1.04035 6.92578
0.679073    6.75978
-1.89751    6.25625
-4.66351    4.79357
-6.03948    3.38196
-6.07123    3.58995
-6.1045 3.60382
-5.89257    3.48534
-5.75928    3.40427
-5.56498    3.28788
-5.36651    3.16764
-5.11112    3.01436
-5.22474    3.08488
-5.37278    3.17347
-5.14456    3.47267
-4.01895    4.46729
-1.79976    5.58717
1.08228 5.76624
1.51062 5.94249
1.54115 6.06498
1.64451 6.45343
1.71257 6.70835
1.74696 6.83856
1.51594 6.73388
-0.920413   6.80573
-4.36208    5.30164
-5.92218    3.35622
-5.80548    3.32163
-5.83738    3.34367
-5.78359    3.31877
-5.63242    3.23079
-5.49928    3.15963
-5.41761    3.11205
-5.20347    2.98333
-5.24857    3.01579
-5.35211    3.15377
-4.37516    4.40699
-1.54632    6.01285
0.867915    6.1848
0.905569    6.56177
0.942281    6.83107
0.96103 6.96917
0.458496    7.03864
-2.03722    6.7517
-5.10428    4.86467
-6.41024    2.83838
-6.19016    2.7676
-6.05748    2.71184
-5.8613 2.62626
-5.62958    2.52503
-5.36909    2.39799
-5.51353    2.46864
-5.56941    2.72037
-4.7609 3.9475
-2.5021 5.64973
0.461532    6.15668
0.761746    6.46569
0.797679    6.75286
0.816271    6.90317
0.553991    6.93214
-2.04998    6.64304
-5.16601    4.6682
-6.09222    3.2956
-5.87634    3.17064
-5.93542    3.21114
-5.86343    3.17306
-5.7127 3.09134
-5.5771 3.00906
-5.46922    2.95459
-5.31092    2.86731
-5.11945    2.75585
-5.289  2.85383
-5.33903    2.9896
-4.43669    4.18358
-1.44728    5.9208
1.4097  6.0878
1.47307 6.43022
1.52493 6.65856
1.547   6.76007
0.0223899   6.93719
-3.095  6.20709
-5.54629    4.21842
-5.4032 3.86427
-5.21514    3.73198
-5.17866    3.70637
-5.07244    3.63691
-4.98087    3.56582
-4.879  3.49209
-4.79638    3.42864
-4.74946    3.39518
-4.55832    3.24955
-4.73614    3.39607
-4.87528    3.59707
-4.27543    4.35617
-2.755  5.34034
-0.37082    5.86338
0.625305    6.06986
0.65817 6.37295
0.675175    6.53622
0.436104    6.58619
-0.502925   6.55603
-1.90916    6.66171
-3.44808    5.86534
-4.25019    4.7571
-4.27398    4.80463
-4.07472    4.57198
-3.93607    4.40407
-3.84283    4.29795
-3.75704    4.18799
-3.81557    4.26471
-3.94358    4.41055
-3.83789    4.7158
-2.69241    5.44461
-0.0651348  6.0639
0.708161    6.29944
0.743342    6.61334
















































































































































