y   x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29
0   0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35  291.5624992	150.6562355	195.3749898	237.5624939	244.3124946	213.9374916	283.1249984	231.6562434	240.9374943	164.9999869	189.4687393	146.4374851	295.7812496	132.0937337	289.0312489	292.4062493	240.0937442	184.4062388	168.3749872	186.0937389	233.3437435	143.9062348	216.4687419	207.187491	246.8437448	135.468734	230.8124933	233.3437435	222.3749925
40  311.4999991	169.5499834	214.5999884	257.0999931	263.8999938	233.2999904	302.9999981	251.1499924	260.4999934	183.999985	208.6499877	165.2999829	315.7499995	150.8499813	308.9499988	312.3499992	259.6499933	203.5499872	187.3999854	205.2499873	252.8499926	162.7499827	235.8499907	226.4999897	266.4499941	154.2499817	250.2999923	252.8499926	241.7999914
45  340.9374989	189.5937313	237.6249869	282.9374922	290.187493	257.5624892	331.8749979	276.5937415	286.5624926	204.9999831	231.2812362	185.0624808	345.4687495	169.656229	338.2187486	341.8437491	285.6562425	225.8437356	208.6249835	227.6562358	278.4062417	182.3437305	260.2812396	250.3124884	292.9062434	173.2812294	275.6874914	278.4062417	266.6249903
60  410.2499986	247.4249751	299.0999826	347.8499896	355.6499907	320.5499857	400.4999972	341.0249886	351.7499902	263.9999775	292.2749816	242.5499744	415.1249993	225.974972	407.3249982	411.2249987	350.77499	286.4249807	267.8999781	288.374981	342.9749889	239.624974	323.4749861	312.7499845	358.5749911	229.8749726	340.0499885	342.9749889	330.2999871
70  450.1249984	285.212471	337.5499797	386.9249879	394.8249892	359.2749833	440.2499967	380.0124867	390.8749885	301.9999738	330.6374785	280.2749701	455.0624992	263.4874674	447.1624979	451.1124985	389.8874884	324.7124775	305.9499744	326.6874779	381.987487	277.3124696	362.2374838	351.374982	397.7874897	267.437468	379.0249865	381.987487	369.1499849
80  489.9999981	322.9999668	375.9999768	425.9999861	433.9999876	397.9999809	479.9999963	418.9999848	429.9999869	339.99997	368.9999754	317.9999659	494.9999991	300.9999627	486.9999976	490.9999983	428.9999867	362.9999743	343.9999708	364.9999747	420.9999852	314.9999653	400.9999814	389.9999794	436.9999882	304.9999634	417.9999846	420.9999852	407.9999828
90  520.3749979	359.6374627	410.6499738	458.7749844	466.4749861	431.8249785	510.7499958	452.0374829	462.6249852	375.9999663	403.9124724	354.8249616	525.1874989	338.462458	517.4874973	521.3374981	461.662485	398.1374711	379.8499671	400.0624715	453.9624833	351.937461	434.7124791	424.1249768	469.3624867	342.3124589	451.0749827	453.9624833	441.4499806
100 541.2499977	395.1249585	441.4999709	485.2499827	492.2499845	460.7499761	532.4999953	479.124981	488.7499836	409.9999625	435.3749693	390.7499573	545.6249988	375.8749534	538.624997	542.1249979	487.8749834	430.1249679	413.4999634	431.8749684	480.8749815	388.1249566	463.3749768	453.7499742	494.8749852	379.3749543	478.2499808	480.8749815	469.4999784
120 563.9999972	463.7999502	495.5999651	525.5999792	530.3999814	508.7999713	557.9999944	521.3999772	527.9999803	473.999955	491.3999632	460.7999488	566.9999986	450.599944	562.1999963	564.5999975	527.39998	487.7999615	476.3999561	488.999962	522.5999778	458.999948	510.5999722	503.9999691	532.1999823	452.9999452	520.7999769	522.5999778	514.7999741
140 586.7499967	532.4749419	549.6999593	565.9499757	568.5499783	556.8499665	583.4999934	563.6749734	567.249977	537.9999475	547.424957	530.8499403	588.3749984	525.3249347	585.7749957	587.074997	566.9249767	545.474955	539.2999488	546.1249557	564.3249741	529.8749393	557.8249675	554.2499639	569.5249793	526.624936	563.3499731	564.3249741	560.0999698
160 599.9999963	599.9999336	599.9999535	599.9999723	599.9999753	599.9999618	599.9999925	599.9999696	599.9999738	599.99994	599.9999509	599.9999318	599.9999981	599.9999254	599.9999951	599.9999966	599.9999734	599.9999486	599.9999415	599.9999494	599.9999704	599.9999306	599.9999629	599.9999588	599.9999764	599.9999269	599.9999693	599.9999704	599.9999655
