y   x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15
0   0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57.58318616 13.08905382	125.3246758	15.14842303	56.33580725	10	210.7884981	102.6716145	26.47495369	28.5343229	62.51391488	159.3042678	56.33580725	118.1168836	19.26716145	68.69202252
74.91745244 23.91410617	166.1266305	26.52351029	78.7115926	20	274.4169012	137.4231852	40.87523292	43.48463704	86.53980494	209.1817984	78.7115926	156.9937161	31.74231852	94.36801729
85.05734819 34.33447524	191.8204089	37.2241254	95.01712857	30	311.7408905	160.0342571	53.11720127	56.00685143	103.686079	239.4996365	95.01712857	181.7066333	43.00342571	112.3550295
92.25171872 44.58915853	211.3285851	47.64859755	108.8373779	40	338.2953044	177.6747559	64.47551216	67.53495118	118.015695	261.8093289	108.8373779	200.6205485	53.76747559	127.1940121
97.83210604 54.75305528	227.447397	57.92175879	121.2958292	50	358.948593	192.5916583	75.34962814	78.51833166	130.8019397	279.7310051	121.2958292	216.3569347	64.25916583	140.3080503
106.2466239 74.92637185	253.9178823	78.21061975	143.8955777	70	390.2141702	217.7911555	96.27398319	99.55823109	153.7483214	308.1079727	143.8955777	242.4230147	84.77911555	163.6010651
112.5315102 94.97989666	275.9161419	98.29982776	164.6984499	90	413.6932828	239.3968998	116.5594488	119.87938	174.6582432	330.6950052	164.6984499	264.2963831	104.93969	184.6180365
115.1663723 104.9781076	285.8493516	108.2968461	174.6716145	100	423.5769962	249.343229	126.5499074	129.8686458	184.6278298	340.6085356	174.6716145	274.2337672	114.9343229	194.584045
132.5006386 204.45316	366.2513063	207.4219333	266.7973998	200	489.4553993	333.5947997	223.7501866	226.7189599	275.7037198	415.2360662	266.7973998	355.8605996	213.35948	284.6100398
149.8349049 402.4282123	490.6532609	404.0470206	436.4231852	400	557.8338025	472.8463704	412.9504658	414.5692741	441.2796099	517.3635967	436.4231852	484.9874321	407.284637	446.1360346
159.9748006 599.9985814	599.9470393	599.9976357	599.9787212	600	599.9077917	599.9574423	599.9924342	599.9914885	599.975884	599.9314349	599.9787212	599.9503494	599.9957442	599.9730468
