Timestamp,How excited were you to try the simulator?,Comment on previous question (reasons etc.),What kept you going through the level?,How satisfied were you with your performance?,Comment on previous question (why were you satisfied/not satisfied?),How motivated were you to try another level?,Comments on previous question (what exactly motivated you to continue?),How likely would you recommend trying out this simulator to your friends?,Comment on previous question (what would increase your willingness to talk about this simulator with your friends?),Other comments about the experience
30/11/2021 12:58:07,5,I have driven excavators before so it was nice to see how realistic it was.,It was very similar to reality so it was easy to control.,5,,5,,5,,
30/11/2021 13:02:10,4,Heavy machinery is interesting,Nothing in particular,4,I figured out how to turn the machine,4,,5,,
30/11/2021 13:10:43,4,,Just the process.,5,It was just fun.,5,Just self motivation.,5,,
30/11/2021 13:36:38,5,Realistic simulation ,Drive ,5,I have a way to improve and get to level 3 for the sake of my CV,5,,5,,
30/11/2021 14:01:13,5,,Encouraging comments from bystanders.,4,,3,It's was kind of fun but better graphics might make the experience better.,3,,
30/11/2021 15:07:43,4,I have never done anything like that,Motivation to learn,5,I did better than expected,5,Learning new,5,It was nice to do,Nice simulator all in all
30/11/2021 15:23:08,5,I like simulators,Feeling of getting the hang of it,5,See above open question,5,,5,I belive everyone in the tecnical field should try it ,
30/11/2021 15:37:20,4,Its fun,Wanted to beat it i guess,4,,4,Try to get better,5,,
30/11/2021 15:39:32,5,Due to the novelty of never having experienced manipulating a vehicular simulator,"Eagerness to learn the controls and feel a sense of accomplishment after completing the task. Finding and testing out the optimal way of lifting the substance from the ground and avoiding excess spillage also, in a sense, added to the eagerness to continue through the level.",4,"While conducting the tutorial, I thought I had quickly gotten a good grasp of the controls and each individual movement seemed intuitive to the movements of the joystick. However, when experiencing the different levels, one required a combination of movements such as: 

1. Pushing the joystick in the forward-left corner to gather the most amount of substance into the excavator bucket with only 1 input
2. Pulling both joysticks back simultaneously to lift the substance into the air without spillage 
3. Using a 3-step combination of pushing the bucket into the ground, using the pedals, and moving the left joystick left in order to turn right 

These movements required time and experimentation, of which I had to synthesize previous knowledge from the tutorial and make new entries to my mental dictionary. During this experimentation phase, I became slightly frustrated as I would keep forgetting the basic joystick controls, and had to make micro-movements in each direction to quickly remember them. It came to the point where, instead of understanding why these combinations of control input make the excavator do certain things such as scoop up more substance, I simply accepted the fact that it worked and continued using the method. Upon further reflection after the simulation was over though, I did start to see why these combinations worked. In example 2, the left joystick, when pulled back, would rotate the bucket inward while the right joystick, when pulled back, lifts the arm up, keeping the bucket at an angle where the substance would not spill. As long as one did both inputs simultaneously, the timing of the rotation of the bucket as well as the increase in height would work out perfectly.

Despite the frustration, it was satisfying to have figured out the controls and make use of the mental shortcuts to efficiently move the substance into the hopper, and even more so after figuring out why such combinations worked after the simulation runtime was over. I think I performed decently toward the end regarding the amount of substance I was able to drop into the hopper with each cycle.",4,"The potential of the added challenge as one progressed through the levels was a motivation for me to keep going. However, it was not all too clear to me what the differences were between the levels, as it seemed as though it was the same repeating scooping cycle. There was a noticable change in level 3 though, where one had to now turn toward the hopper and travel there, which employed the 3-step turning maneuver and kept the level engaging.",4,,
30/11/2021 15:50:25,5,,Nice instructions,5,,5,,5,,
